date,cost,amount,distance,cost_per_gallon,trip_mpg,distance_remaining,phase
5/21/2021,42.2,12.8,,3.3,,,Commuting Canby to Sherwood
6/2/2021,37.24,11.1,345,3.35,31.1,28,Commuting Canby to Sherwood
6/11/2021,36.89,11,316,3.35,28.7,28.7,Commuting Canby to Sherwood
6/22/2021,37.58,11.3,319.6,3.32,28.2,19.2,Commuting Canby to Sherwood
7/3/2021,42.08,11.4,303.4,3.7,26.7,16.5,Commuting Newberg to Sherwood
7/11/2021,38.09,11.7,312.7,3.26,26.8,8.8,Commuting Newberg to Sherwood
7/20/2021,36.77,10.6,284,3.46,26.7,36.6,Commuting Newberg to Sherwood
7/29/2021,39.71,11.4,307.1,3.5,27.1,17.6,Commuting Newberg to Sherwood
8/12/2021,40,11.3,342.2,3.54,30.3,21.2,Commuting Newberg to Sherwood
8/14/2021,36.77,9.8,352.7,3.75,36,78.7,Utah Trip '21
8/14/2021,42.66,10.7,314.2,4,29.4,39.2,Utah Trip '21
8/15/2021,39.76,10.3,349.2,3.86,33.9,57.6,Utah Trip '21
8/17/2021,22.85,5.9,218.7,3.9,37.3,229.1,Utah Trip '21
8/17/2021,30.41,7.6,252.8,3.99,33.2,145.3,Utah Trip '21
8/19/2021,32.41,9.7,353.2,3.34,36.4,83.7,Utah Trip '21
8/20/2021,45.46,9.7,311.2,4.68,32,73,Utah Trip '21
8/20/2021,43.87,9.4,352.2,4.66,37.4,96.9,Utah Trip '21
8/21/2021,40.21,10.3,350.3,3.92,34.1,59.4,Utah Trip '21
8/21/2021,37.95,10.9,390.1,3.48,35.8,39,Utah Trip '21
9/13/2021,38.67,10.9,319.3,3.56,29.4,33.5,George Fox 2021-2022 Living off Campus
9/29/2021,39.12,11,273,3.57,24.9,25.9,George Fox 2021-2022 Living off Campus
10/15/2021,34.54,10,237.5,3.44,23.7,46.4,George Fox 2021-2022 Living off Campus
10/24/2021,40.19,11.4,319.3,3.53,28,16.8,George Fox 2021-2022 Living off Campus
11/13/2021,39.9,11,266.4,3.63,24.2,24.2,George Fox 2021-2022 Living off Campus
11/27/2021,39.54,11,265.7,3.59,24.1,23.6,George Fox 2021-2022 Living off Campus
12/28/2021,36.79,10.7,266.6,3.44,24.9,32.4,George Fox 2021-2022 Living off Campus
1/15/2022,39.94,10.5,279.6,3.8,26.6,39.9,George Fox 2021-2022 Living off Campus
1/27/2022,38.52,10.2,248,3.77,24.3,43.2,George Fox 2021-2022 Living off Campus
2/8/2022,39.34,10.5,261,3.74,24.8,37,George Fox 2021-2022 Living off Campus
2/26/2022,42.24,10.9,250,3.87,22.9,25,George Fox 2021-2022 Living off Campus
3/5/2022,36.56,8.6,221.2,4.27,25.8,88.9,George Fox 2021-2022 Living off Campus
3/21/2022,46.39,10.2,238.1,4.57,23.5,43.4,Spring Break '22 Bend
3/23/2022,45.95,10.1,306.7,4.57,30.5,59.5,Spring Break '22 Bend
3/27/2022,50.93,11.1,355.4,4.6,32.1,29.5,Spring Break '22 Bend
4/11/2022,47.04,10.5,282.5,4.47,26.8,39.4,GFU '22 Living off Campus
4/23/2022,49.45,11,285.7,4.5,26,26.3,GFU '22 Living off Campus
6/5/2022,48.96,9.5,243.2,5.16,25.6,64.3,Commuting Newberg to Lake Oswego
6/14/2022,60.58,11.1,330.8,5.44,29.7,25.5,Commuting Newberg to Lake Oswego
6/25/2022,58.56,11.1,310.4,5.27,27.9,24.9,Commuting Newberg to Lake Oswego
7/4/2022,56.54,10.7,294.8,5.27,27.5,34.9,Commuting Newberg to Lake Oswego
7/13/2022,57.2,11.2,307.5,5.1,27.4,21.4,Commuting Newberg to Lake Oswego
7/25/2022,53.03,11,300.3,4.82,27.3,27.3,Commuting Newberg to Lake Oswego
8/8/2022,52.88,11.1,305.8,4.77,27.6,25.4,Commuting Newberg to Lake Oswego
8/18/2022,47.33,10.9,293.3,4.36,27,30.8,Commuting Newberg to Lake Oswego
8/23/2022,47.21,10,268.5,4.7,26.7,52.2,Driving to Victoria Ca. 2022
8/23/2022,26.94,6.1,201,4.4,32.8,192.8,Driving to Victoria Ca. 2022
8/25/2022,39.69,9.3,262.9,4.28,28.3,77.1,Driving to Victoria Ca. 2022
8/26/2022,48.36,10.9,349.1,4.43,32,34.5,Driving to Victoria Ca. 2022
9/11/2022,53.31,11.1,283.3,4.8,25.5,23,GFU '22 & '23 Living off Campus
9/22/2022,52.05,10.5,274.4,4.96,26.1,39.3,GFU '22 & '23 Living off Campus
10/2/2022,58.14,11,228.4,5.3,20.8,21.7,GFU '22 & '23 Living off Campus
10/19/2022,55.02,11.1,274.1,4.96,24.7,22.5,GFU '22 & '23 Living off Campus
10/28/2022,51.61,11.2,299.5,4.6,26.7,20.8,GFU '22 & '23 Living off Campus
11/13/2022,48.64,10.9,252.4,4.45,23.1,24.6,GFU '22 & '23 Living off Campus
11/27/2022,43.81,11.4,284.2,3.84,24.9,15,GFU '22 & '23 Living off Campus
12/19/2022,37.46,10.8,233,3.46,21.5,25.2,GFU '22 & '23 Living off Campus
1/21/2023,40.08,11.6,267.2,3.47,23.1,10.2,GFU '22 & '23 Living off Campus
2/9/2023,35.96,10.1,239,3.55,23.6,44.1,GFU '22 & '23 Living off Campus
2/27/2022,41.83,11.3,317.2,3.7,28.1,19.6,GFU '22 & '23 Living off Campus
4/5/2023,42.39,11.3,258.7,3.76,23,16.8,GFU '22 & '23 Living off Campus
4/15/2023,43.58,11.3,310.7,3.87,27.6,20.4,GFU '22 & '23 Living off Campus
4/26/2023,40.82,10.6,252.3,3.87,23.9,34.7,GFU '22 & '23 Living off Campus
5/4/2023,39.02,10.6,328.1,3.68,31,43.3,GFU '22 & '23 Living off Campus
